Case Group ID,Case Group Name,Map to Practice Cost Center
56500002,Capability Marketing - AA,AIS Practice
56500003,Capability Marketing - Customer,Customer Practice
56500004,Capability Marketing - DEI,Further Practice
56500005,Capability Marketing - PEG,PEG Practice
56500006,Capability Marketing - ET,ET Practice
56500007,Capability Marketing - Futures,S&T Practice
56500008,Capability Marketing - M&A,M&A Practice
56500009,Capability Marketing - MTG,Strategy & Transformation Practice
56500010,Capability Marketing - Org,Organization Practice
56500011,Capability Marketing - PI,PI Practice
56500012,Capability Marketing - S&R,Further Practice
56500013,Capability Marketing - Strategy,S&T Practice
56500014,Capability Marketing - T&C,S&T Practice
57500002,Industry Marketing - AMS,AMS Practice
57500004,Industry Marketing - CP,CP Practice
57500005,Industry Marketing - ENR,ENR Practice
57500006,Industry Marketing - FS,FS Practice
57500007,Industry Marketing - HC,HC Practice
57500008,Industry Marketing - PEG,PEG Practice
57500009,Industry Marketing - Retail,Retail Practice
57500010,Industry Marketing - SI,Further Practice
57500011,Industry Marketing - TCS,TMT Practice
56500015,Capability Marketing - Vector,AIS Practice
56500017,Capability Marketing - MCX,Customer Practice
56500018,Capability Marketing - CE,Customer Practice
57500003,Industry Marketing - CME,TMT Practice
